Date,Open,High,Low,Close,Volume,Adj Close
2017-02-07,2295.870117,2299.399902,2290.159912,2293.080078,3448690000,2293.080078
2017-02-06,2294.280029,2296.179932,2288.570068,2292.560059,3109050000,2292.560059
2017-02-03,2288.540039,2298.310059,2287.879883,2297.419922,3597970000,2297.419922
2017-02-02,2276.689941,2283.969971,2271.649902,2280.850098,3807710000,2280.850098
2017-02-01,2285.590088,2289.139893,2272.439941,2279.550049,3916610000,2279.550049
2017-01-31,2274.02002,2279.090088,2267.209961,2278.870117,4087450000,2278.870117
2017-01-30,2286.01001,2286.01001,2268.040039,2280.899902,3591270000,2280.899902
2017-01-27,2299.02002,2299.02002,2291.620117,2294.689941,3135890000,2294.689941
2017-01-26,2298.629883,2300.98999,2294.080078,2296.679932,3610360000,2296.679932
2017-01-25,2288.879883,2299.550049,2288.879883,2298.370117,3846020000,2298.370117
2017-01-24,2267.879883,2284.629883,2266.679932,2280.070068,3810960000,2280.070068
2017-01-23,2267.780029,2271.780029,2257.02002,2265.199951,3152710000,2265.199951
2017-01-20,2269.959961,2276.959961,2265.01001,2271.310059,3524970000,2271.310059
2017-01-19,2271.899902,2274.330078,2258.409912,2263.689941,3165970000,2263.689941
2017-01-18,2269.139893,2272.01001,2263.350098,2271.889893,3315250000,2271.889893
2017-01-17,2269.139893,2272.080078,2262.810059,2267.889893,3584990000,2267.889893
2017-01-13,2272.73999,2278.679932,2271.51001,2274.639893,3081270000,2274.639893
2017-01-12,2271.139893,2271.780029,2254.25,2270.439941,3462130000,2270.439941
2017-01-11,2268.600098,2275.320068,2260.830078,2275.320068,3620410000,2275.320068
2017-01-10,2269.719971,2279.27002,2265.27002,2268.899902,3638790000,2268.899902
2017-01-09,2273.590088,2275.48999,2268.899902,2268.899902,3217610000,2268.899902
